wordform;freq_count;zipf;cd_count;dom_pos;dom_lemma;dom_lemma_freq;id
.;0;8,212940724;19439;SENT;.;21040084;129227
,;0;7,65002413;19420;PON;,;5756133;56434
?;0;7,390472315;19388;SENT;?;3166496;369827
non;2340479;7,259198169;19387;ADV;non;2340479;69610
che;2293840;7,250456545;19391;PRO;che;1828391;204595
è;2288908;7,249521761;19352;VER;essere;3507888;205052
di;2202526;7,232814475;19418;PRE;di;2202523;343263
';0;7,159683711;19401;PON;';1861188;390319
!;0;7,105242582;19249;SENT;!;1641909;171282
un;1499479;7,065833912;19415;DET;un;1457920;293435
e;1484558;7,061490697;19406;CON;e;1484558;229763
la;1463653;7,055331658;19409;DET;la;3975550;349976
il;1411456;7,039560886;19393;DET;il;3975550;24802
a;1301494;7,004335738;19402;PRE;a;1300846;442017
per;1053276;6,912435835;19376;PRE;per;1043921;161925
una;816439;6,801817508;19383;DET;una;816439;363362
in;807943;6,797274494;19383;PRE;in;807943;24804
mi;758068;6,769601972;19315;PRO;mi;758068;286609
sono;755503;6,768130002;19341;VER;essere;752297;191145
ho;676657;6,720262455;19278;VER;avere;2620540;88390
ha;622479;6,684018637;19299;VER;avere;2620540;88395
ma;591714;6,662005813;19314;CON;ma;591346;286601
lo;583474;6,655915487;19313;PRO;lo;457066;349978
l;0;6,640107629;19171;VER;<unknown>;1069550;326989
cosa;552534;6,632253028;19272;NOM;cosa;642229;171192
le;543380;6,624997683;19356;DET;le;3975550;349973
con;537499;6,620271703;19339;PRE;con;537499;85130
ti;531801;6,615643201;19205;PRO;ti;480724;356662
no;519841;6,605764599;19192;ADV;no;518212;76040
;0;6,593502692;17740;PON;;505369;215894
i;495321;6,584780852;19339;DET;il;3975550;217295
se;493420;6,583110863;19310;CON;se;427613;420648
da;487437;6,577812618;19354;PRE;da;487437;343270
come;470772;6,562704781;19315;CON;come;229603;384509
si;461307;6,553884221;19324;PRO;si;460919;420636
io;443418;6,536707533;19247;PRO;io;443418;148871
ci;423870;6,517126939;19268;PRO;ci;421395;376599
sì;405444;6,497825183;16889;ADV;sì;222939;420574
questo;392927;6,484206212;19287;PRO;questo;701954;16677
hai;386987;6,477590733;19069;VER;avere;2620540;263004
bene;367365;6,454992194;19165;ADV;bene;335668;471464
qui;349139;6,432892842;19168;ADV;qui;349139;463590
sei;347167;6,430432922;19135;VER;essere;294099;18651
tu;334866;6,414765586;19074;PRO;tu;217842;356650
del;332636;6,41186379;19298;PRE;del;909634;29172
più;310929;6,382555861;19104;ADV;più;309918;189026
solo;294733;6,359323473;19212;ADV;solo;261805;143253
me;280518;6,337855516;19190;PRO;me;280518;286597
mio;279462;6,336217551;19184;PRO;mio;589991;107878
al;279054;6,335583043;19254;PRE;al;585794;17973
tutto;261041;6,306603623;19194;DET;tutto;119714;117421
te;251753;6,290869614;18966;PRO;te;251753;356666
così;249973;6,287788074;18075;ADV;così;244377;69306
era;247589;6,283626334;18994;VER;essere;3507888;132795
perchè;246712;6,282085269;14381;CON;perchè;198816;219323
della;238306;6,267030034;19103;PRE;di;909634;12163
mia;225102;6,242274517;19083;DET;mio;589991;133353
fatto;222451;6,237129549;19044;VER;fare;1151883;393740
lei;221652;6,235566848;18354;PRO;lei;221652;83587
fare;219478;6,231286207;19085;VER;fare;1151883;200570
gli;217583;6,227520191;19118;DET;il;3975550;310867
essere;216427;6,225206681;19136;VER;essere;3507888;53624
Oh;216104;6,22455805;17478;INT;oh;208252;131396
so;211962;6,216153292;18940;VER;sapere;499632;420638
quando;210353;6,212844009;19125;CON;quando;115631;367218
questa;208904;6,209842069;19164;DET;questo;701954;16674
ne;205135;6,201935117;19112;PRO;ne;202876;222719
ora;202296;6,195882677;19088;ADV;ora;195284;299882
detto;195165;6,180297396;18829;VER;dire;636417;358175
c;0;6,166704172;19057;NOM;c;190317;508898
va;187270;6,162363764;18761;VER;andare;641883;344915
quello;186661;6,160949149;18895;PRO;quello;352091;332524
mai;179915;6,144963021;19011;ADV;mai;179844;299740
alla;175991;6,135386161;19005;PRE;alla;585794;393390
o;174837;6,132529064;19008;CON;o;174837;410666
stato;171066;6,123059474;18946;VER;essere;294558;314254
anche;167954;6,115086172;19006;ADV;anche;167951;218178
tutti;166194;6,110511188;18939;PRO;tutto;178573;450109
chi;165405;6,108444494;18803;PRO;chi;165405;204599
dei;165323;6,108229139;18993;PRE;di;909634;348937
abbiamo;165202;6,107911164;18789;VER;avere;2620540;270589
molto;163230;6,102695876;18868;ADV;molto;157935;416386
voglio;160713;6,095946945;18707;VER;volere;609883;61015
grazie;160498;6,095365565;18191;NOM;grazia;162780;500564
sta;158396;6,089640186;18846;VER;stare;648668;377275
tuo;154935;6,080045574;18616;PRO;tuo;354834;219162
ok;154748;6,079521086;12178;INT;ok;154748;158703
lui;153870;6,077050011;18427;PRO;lui;153870;217146
beh;153748;6,076705534;15443;INT;beh;153748;410560
allora;152276;6,072527547;18767;ADV;allora;151933;73691
nel;151171;6,069364593;18924;PRE;nel;327676;346858
niente;148460;6,061505616;18622;PRO;niente;74990;215473
sia;148082;6,060398439;18795;VER;essere;3507888;305920
posso;147823;6,059638184;18860;VER;potere;676977;67916
L;0;6,058538011;18824;NUM;L;147449;191410
suo;145196;6,051850878;18493;DET;suo;346935;401092
prima;141982;6,042129583;18945;ADJ;primo;109479;372356
sai;141399;6,040342644;18150;VER;sapere;112886;113977
tua;140557;6,037748803;18504;DET;tuo;354834;284023
qualcosa;139482;6,034414514;18729;PRO;qualcosa;139482;128847
siamo;138603;6,031668998;18698;VER;essere;3507888;104036
stai;137540;6,028325412;18358;VER;stare;648668;435701
Ehi;136010;6,023467268;15527;INT;ehi;124146;152735
sua;135715;6,022524285;18331;DET;suo;346935;401090
dove;134553;6,018789847;18644;ADV;dove;100131;238416
ancora;134351;6,01813737;18899;ADV;ancora;133645;374804
hanno;134281;6,017911035;18378;VER;avere;2620540;472762
già;133685;6,015979163;18383;ADV;già;133685;238894
#;0;6,015504606;2864;NOM;<unknown>;4511888;244730
uno;133401;6,015055575;18753;DET;uno;55714;215702
C;0;6,007356771;18737;NUM;C;129891;213091
casa;129959;6,003702937;17841;NOM;casa;134170;13743
fa;129913;6,003549189;18687;VER;fare;1151883;146201
su;128876;6,000068652;18653;PRE;su;89664;420632
due;127731;5,996192947;18541;NUM;due;127731;483129
vuoi;127599;5,995743909;18161;VER;volere;609883;309408
VERO;126256;5,9911487;18613;ADJ;vero;127049;409164
